Start Time (UTC),End Time (UTC),Variation Name,Variation ID,Is Baseline Variation,Metric Event Name,Metric Event ID,Metric Numerator Type,Metric Denominator Type,Metric Winning Direction,Numerator Value,Denominator Value,Metric Value,Improvement Status from Baseline,Improvement Value from Baseline,Statistical Significance,Is Improvement Significant,Confidence Interval - Low,Confidence Interval - High,Samples Remaining to Significance
2022-12-30 11:47:06,2023-01-02 14:25:22,"""Original""",22772421770,TRUE,"""Sign up Rate - Only Email Submitted""",22724016875,unique conversions,visitor,increasing,177,11323,0.01563189967,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2022-12-30 11:47:06,2023-01-02 14:25:22,"""Variation #1: Exclusive Discount popup""",22795112523,FALSE,"""Sign up Rate - Only Email Submitted""",22724016875,unique conversions,visitor,increasing,213,11469,0.01857180225,better,0.1880707168,0.2369836534,FALSE,-0.2331967412,0.5376881086,17145
2022-12-30 11:47:06,2023-01-02 14:25:22,"""Original""",22772421770,TRUE,"""Sign up Rate - Email + Phone Submitted""",22754600789,unique conversions,visitor,increasing,97,11323,0.008566634284,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2022-12-30 11:47:06,2023-01-02 14:25:22,"""Variation #1: Exclusive Discount popup""",22795112523,FALSE,"""Sign up Rate - Email + Phone Submitted""",22754600789,unique conversions,visitor,increasing,67,11469,0.00584183451,worse,-0.3180712148,0.3999931089,FALSE,-0.7769716165,0.1007811172,3878
2022-12-30 11:47:06,2023-01-02 14:25:22,"""Original""",22772421770,TRUE,"""Clicks on Mattress PDPs - Add to Cart + Buy Now CTA""",22702522372,unique conversions,visitor,increasing,804,11323,0.07100591716,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2022-12-30 11:47:06,2023-01-02 14:25:22,"""Variation #1: Exclusive Discount popup""",22795112523,FALSE,"""Clicks on Mattress PDPs - Add to Cart + Buy Now CTA""",22702522372,unique conversions,visitor,increasing,790,11469,0.06888133229,worse,-0.02992123696,0,FALSE,-0.1789902289,0.132937821,82235
2022-12-30 11:47:06,2023-01-02 14:25:22,"""Original""",22772421770,TRUE,"""Page Visits on Checkout Page""",19741883770,unique conversions,visitor,increasing,775,11323,0.06844475846,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2022-12-30 11:47:06,2023-01-02 14:25:22,"""Variation #1: Exclusive Discount popup""",22795112523,FALSE,"""Page Visits on Checkout Page""",19741883770,unique conversions,visitor,increasing,795,11469,0.06931729009,better,0.01274796858,0,FALSE,-0.1537731225,0.1789250061,115935
2022-12-30 11:47:06,2023-01-02 14:25:22,"""Original""",22772421770,TRUE,"""Unique Conversions - Thank you Page""",19743843923,unique conversions,visitor,increasing,175,11323,0.01545526804,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2022-12-30 11:47:06,2023-01-02 14:25:22,"""Variation #1: Exclusive Discount popup""",22795112523,FALSE,"""Unique Conversions - Thank you Page""",19743843923,unique conversions,visitor,increasing,177,11469,0.01543290609,worse,-0.001446881656,0,FALSE,-0.4579268623,0.4323434716,125981
2022-12-30 11:47:06,2023-01-02 14:25:22,"""Original""",22772421770,TRUE,"""Clicks on Mattress PDPs - Add to Cart CTA""",20157147161,unique conversions,visitor,increasing,670,11323,0.05917159763,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2022-12-30 11:47:06,2023-01-02 14:25:22,"""Variation #1: Exclusive Discount popup""",22795112523,FALSE,"""Clicks on Mattress PDPs - Add to Cart CTA""",20157147161,unique conversions,visitor,increasing,640,11469,0.05580259831,worse,-0.05693608859,0,FALSE,-0.2733886472,0.1690670115,39510
2022-12-30 11:47:06,2023-01-02 14:25:22,"""Original""",22772421770,TRUE,"""Clicks on Mattress PDPs - Buy Now CTA""",22708151715,unique conversions,visitor,increasing,189,11323,0.01669168948,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2022-12-30 11:47:06,2023-01-02 14:25:22,"""Variation #1: Exclusive Discount popup""",22795112523,FALSE,"""Clicks on Mattress PDPs - Buy Now CTA""",22708151715,unique conversions,visitor,increasing,196,11469,0.01708954573,better,0.02383558901,0,FALSE,-0.553509452,0.6011806301,120988
2022-12-30 11:47:06,2023-01-02 14:25:22,"""Original""",22772421770,TRUE,"""Total Revenue per Visitor (NEW - custom code)""",21987680809,sum - revenue,visitor,increasing,26374771,11323,2329.309471,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2022-12-30 11:47:06,2023-01-02 14:25:22,"""Variation #1: Exclusive Discount popup""",22795112523,FALSE,"""Total Revenue per Visitor (NEW - custom code)""",21987680809,sum - revenue,visitor,increasing,24362432,11469,2124.198492,worse,-0.08805655992,0,FALSE,-0.8241304926,0.6009280239,74237
2022-12-30 11:47:06,2023-01-02 14:25:22,"""Original""",22772421770,TRUE,"""Average Order Value""",19745475478,sum - revenue,event,increasing,28147622,198,142159.7084,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2022-12-30 11:47:06,2023-01-02 14:25:22,"""Variation #1: Exclusive Discount popup""",22795112523,FALSE,"""Average Order Value""",19745475478,sum - revenue,event,increasing,27455032,204,134583.4933,worse,-0.05329368776,0,FALSE,-0.4431969679,0.3246867224,1541
2022-12-30 11:47:06,2023-01-02 14:25:22,"""Original""",22772421770,TRUE,"""Total Conversions - Thank you Page""",19743843923,total conversions,visitor,increasing,194,11323,0.01713326857,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2022-12-30 11:47:06,2023-01-02 14:25:22,"""Variation #1: Exclusive Discount popup""",22795112523,FALSE,"""Total Conversions - Thank you Page""",19743843923,total conversions,visitor,increasing,201,11469,0.01752550353,better,0.02289317775,0,FALSE,-0.7117185747,0.6841884985,123344
2022-12-30 11:47:06,2023-01-02 14:25:22,"""Original""",22772421770,TRUE,"""Page Visits on Puffy Lux Mattress""",19734597547,unique conversions,visitor,increasing,3057,11323,0.2699814537,n/a,n/a,n/a,n/a,n/a,n/a,n/a
