medium,source,sessions_visit,reach_view,reach_add,reach_checkout,reach_purchase_closed,reach_purchase_after_view,cr_visit_to_view,cr_view_to_add,cr_add_to_checkout,cr_checkout_to_purchase,cr_visit_to_purchase_closed,cr_visit_to_purchase_after_view,txn_count,revenue_usd,AOV_usd
(none),(direct),1145.0,268.0,82.0,55.0,18.0,17.0,0.23406113537117904,0.30597014925373134,0.6707317073170732,0.32727272727272727,0.01572052401746725,0.014847161572052401,26.0,42361.0,1629.2692307692307
cpc,google,1134.0,510.0,100.0,76.0,20.0,21.0,0.4497354497354497,0.19607843137254902,0.76,0.2631578947368421,0.01763668430335097,0.018518518518518517,27.0,38479.0,1425.148148148148
organic,google,739.0,119.0,21.0,14.0,4.0,5.0,0.16102841677943167,0.17647058823529413,0.6666666666666666,0.2857142857142857,0.005412719891745603,0.006765899864682003,7.0,6122.0,874.5714285714286
cpc,bing,444.0,194.0,25.0,21.0,7.0,6.0,0.4369369369369369,0.12886597938144329,0.84,0.3333333333333333,0.015765765765765764,0.013513513513513514,10.0,16110.0,1611.0
Affiliates,Source816,224.0,124.0,8.0,4.0,1.0,1.0,0.5535714285714286,0.06451612903225806,0.5,0.25,0.004464285714285714,0.004464285714285714,2.0,407.0,203.5
Affiliates,Source1090,166.0,90.0,7.0,3.0,0.0,0.0,0.5421686746987951,0.07777777777777778,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,
Affiliates,Source1103,166.0,91.0,4.0,1.0,1.0,1.0,0.5481927710843374,0.04395604395604396,0.25,1.0,0.006024096385542169,0.006024096385542169,1.0,999.0,999.0
referral,Source659,126.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,
Affiliates,Source927,110.0,22.0,4.0,1.0,0.0,0.0,0.2,0.18181818181818182,0.25,0.0,0.0,0.0,0.0,0.0,
Affiliates,Source847,96.0,46.0,10.0,6.0,4.0,4.0,0.4791666666666667,0.21739130434782608,0.6,0.6666666666666666,0.041666666666666664,0.041666666666666664,4.0,7399.0,1849.75
Affiliates,Source991,87.0,48.0,2.0,0.0,0.0,0.0,0.5517241379310345,0.041666666666666664,0.0,,0.0,0.0,0.0,0.0,
Affiliates,Source1481,70.0,29.0,6.0,4.0,2.0,2.0,0.4142857142857143,0.20689655172413793,0.6666666666666666,0.5,0.02857142857142857,0.02857142857142857,3.0,4046.0,1348.6666666666667
Affiliates,Source756,61.0,37.0,2.0,2.0,0.0,0.0,0.6065573770491803,0.05405405405405406,1.0,0.0,0.0,0.0,0.0,0.0,
sms,Source580,61.0,15.0,8.0,4.0,0.0,0.0,0.2459016393442623,0.5333333333333333,0.5,0.0,0.0,0.0,0.0,0.0,
Affiliates,Source901,50.0,19.0,1.0,0.0,0.0,0.0,0.38,0.05263157894736842,0.0,,0.0,0.0,0.0,0.0,
cpc,Source1164,40.0,22.0,1.0,1.0,0.0,0.0,0.55,0.045454545454545456,1.0,0.0,0.0,0.0,0.0,0.0,
Affiliates,Source1472,40.0,14.0,2.0,2.0,0.0,0.0,0.35,0.14285714285714285,1.0,0.0,0.0,0.0,0.0,0.0,
